traj,px,py,pz,vx,vy,vz,ax,ay,az,roll,pitch,yaw
0,-1.98,1.03,0.58,-0.04,-0.09,0.0,0.14,0.49,-0.12,-0.04,-0.02,-0.03
0,-1.98,1.03,0.58,-0.03,-0.08,0.0,0.14,0.5,-0.09,-0.04,-0.02,-0.03
0,-1.98,1.03,0.58,-0.03,-0.08,-0.0,0.12,0.49,-0.1,-0.04,-0.02,-0.03
0,-1.98,1.03,0.58,-0.03,-0.07,-0.0,0.06,0.44,-0.08,-0.04,-0.01,-0.03
0,-1.98,1.03,0.58,-0.02,-0.07,-0.0,0.04,0.42,-0.08,-0.04,-0.01,-0.03
0,-1.98,1.03,0.58,-0.02,-0.06,-0.0,0.07,0.44,-0.07,-0.04,-0.01,-0.02
0,-1.98,1.03,0.58,-0.02,-0.05,-0.0,0.08,0.42,-0.07,-0.03,-0.01,-0.02
0,-1.98,1.03,0.58,-0.02,-0.05,-0.01,0.06,0.39,-0.11,-0.03,-0.01,-0.02
0,-1.98,1.03,0.58,-0.01,-0.05,-0.01,0.03,0.39,-0.1,-0.03,-0.01,-0.02
0,-1.98,1.03,0.58,-0.01,-0.04,-0.01,-0.0,0.39,-0.07,-0.03,-0.0,-0.02
0,-1.98,1.03,0.58,-0.01,-0.04,-0.01,-0.05,0.39,-0.03,-0.03,-0.0,-0.02
0,-1.97,1.03,0.58,-0.01,-0.03,-0.01,-0.09,0.36,-0.06,-0.03,-0.0,-0.02
0,-1.97,1.03,0.58,-0.01,-0.03,-0.01,-0.1,0.33,-0.04,-0.02,-0.0,-0.02
0,-1.97,1.03,0.57,-0.01,-0.02,-0.01,-0.1,0.31,-0.04,-0.02,0.0,-0.02
0,-1.97,1.03,0.57,-0.01,-0.02,-0.01,-0.06,0.27,-0.07,-0.02,0.0,-0.02
0,-1.97,1.03,0.57,-0.01,-0.02,-0.01,-0.08,0.25,-0.06,-0.02,0.0,-0.02
0,-1.97,1.03,0.57,-0.0,-0.01,-0.01,-0.09,0.24,-0.03,-0.01,0.0,-0.01
0,-1.97,1.03,0.57,-0.0,-0.01,-0.01,-0.11,0.16,-0.01,-0.01,0.0,-0.01
0,-1.97,1.03,0.57,-0.0,-0.01,-0.01,-0.12,0.14,-0.02,-0.01,0.0,-0.01
0,-1.97,1.03,0.57,-0.0,-0.01,-0.01,-0.1,0.13,0.0,-0.01,0.01,-0.01
0,-1.97,1.03,0.57,-0.0,-0.0,-0.01,-0.12,0.11,-0.0,-0.01,0.01,-0.01
0,-1.97,1.03,0.57,-0.0,0.0,-0.02,-0.16,0.08,-0.04,-0.0,0.01,-0.01
0,-1.97,1.03,0.57,-0.0,0.0,-0.02,-0.19,0.07,-0.05,-0.0,0.01,-0.01
0,-1.97,1.03,0.57,-0.0,0.0,-0.02,-0.16,0.08,-0.02,0.0,0.01,-0.01
0,-1.97,1.03,0.57,-0.0,0.0,-0.02,-0.16,0.05,-0.01,0.0,0.01,-0.01
0,-1.97,1.03,0.57,-0.0,0.0,-0.02,-0.18,0.05,-0.04,0.0,0.01,-0.01
0,-1.97,1.03,0.57,-0.0,0.01,-0.02,-0.2,0.06,-0.02,0.01,0.01,-0.0
0,-1.97,1.03,0.57,-0.01,0.01,-0.02,-0.22,-0.02,-0.0,0.01,0.02,-0.0
0,-1.97,1.03,0.57,-0.01,0.01,-0.02,-0.19,-0.05,0.03,0.01,0.02,-0.0
0,-1.97,1.03,0.57,-0.01,0.01,-0.02,-0.2,-0.07,0.07,0.01,0.01,-0.0
